Decade,Farm Wages (d./day),Coal Wages (d./day),Labourer Wages (d./day),Craftsmen Wages (d./day),Share in Farming,Share in Coal,Average Wage (d./day),Bread (d./lb),Barley (s./bu),Oatmeal (d./lb),Peas (s./bu),Potatoes (s./cwt),Rice (d./lb),Starches (index)
1200,1.37,-,-,2.78,0.56,0,2.09,0.091,0.206,0.076,0.222,-,-,4.35
1210,1.26,-,-,2.08,0.58,0,2.02,0.122,0.247,0.093,0.325,-,-,5.87
1220,1.25,-,1.63,2.6,0.63,0,1.95,0.139,0.309,0.114,0.428,-,-,6.5
1230,1.18,-,-,-,0.65,0,1.85,0.13,0.277,0.133,0.385,-,-,6.33
1240,1.25,-,1.88,2.89,0.67,0,1.9,0.137,0.3,0.132,0.423,-,-,6.68
1250,1.31,-,1.71,3.17,0.64,0,2.01,0.148,0.353,0.148,0.491,-,-,7.41
1260,1.33,-,1.77,3.1,0.66,0,2.02,0.145,0.33,0.153,0.411,-,-,7.1
1270,1.28,-,1.45,2.7,0.73,0,1.77,0.208,0.466,0.186,0.635,-,-,10.11
1280,1.35,-,1.43,2.84,0.71,0,1.87,0.177,0.383,0.178,0.488,-,-,8.62
1290,1.32,-,1.42,2.83,0.73,0,1.82,0.224,0.502,0.188,0.675,-,-,10.84
1300,1.34,-,1.57,3.01,0.73,0,1.89,0.182,0.4,0.169,0.502,-,-,8.81
1310,1.44,-,1.73,3.27,0.76,0,2.01,0.273,0.606,0.229,0.793,-,-,13.18
1320,1.54,-,1.67,3.23,0.71,0,2.14,0.231,0.488,0.222,0.621,-,-,11.19
1330,1.52,-,1.7,3.26,0.69,0,2.15,0.181,0.384,0.181,0.563,-,-,8.86
1340,1.49,-,1.61,2.89,0.7,0,2.03,0.176,0.388,0.16,0.477,-,-,8.51
1350,2.8,-,2.28,4.06,0.66,0,3.47,0.24,0.587,0.235,0.647,-,-,11.68
1360,2.88,-,2.75,4.45,0.63,0,3.72,0.241,0.685,0.209,0.646,-,-,11.75
1370,3.16,-,2.94,4.72,0.65,0,4.02,0.259,0.58,0.203,0.645,-,-,12.37
1380,3.17,-,2.95,4.62,0.59,0,4.04,0.183,0.376,0.216,0.477,-,-,8.92
1390,3.05,-,2.88,4.56,0.61,0,3.91,0.193,0.434,0.226,0.54,-,-,9.49
1400,3.45,-,3.15,4.72,0.59,0,4.32,0.21,0.437,0.215,0.508,-,-,10.14
1410,3.47,-,3.17,4.89,0.59,0,4.37,0.216,0.439,0.202,0.556,-,-,10.39
1420,3.5,-,3.31,4.96,0.57,0,4.45,0.181,0.37,0.192,0.452,-,-,8.77
1430,3.68,-,3.43,5.06,0.58,0,4.62,0.236,0.407,0.192,0.644,-,-,11.21
1440,3.66,-,3.54,5.29,0.54,0,4.73,0.182,0.313,0.165,0.446,-,-,8.64
1450,3.79,-,3.62,5.19,0.54,0,4.8,0.201,0.318,0.155,0.372,-,-,9.29
1460,3.54,-,3.59,5.03,0.55,0,4.58,0.201,0.362,0.161,0.446,-,-,9.43
1470,3.56,-,3.45,5.13,0.58,0,4.57,0.21,0.319,0.162,0.452,-,-,9.78
1480,3.53,-,3.45,4.99,0.59,0,4.5,0.235,0.409,0.16,0.597,-,-,11.04
1490,3.52,-,3.43,5.09,0.57,0,4.54,0.205,0.318,0.156,0.417,-,-,9.5
1500,3.38,-,3.36,4.93,0.59,0,4.36,0.229,0.348,0.172,0.448,-,-,10.57
1510,3.37,-,3.47,5.12,0.61,0,4.41,0.222,0.404,0.179,0.504,-,-,10.45
1520,3.42,-,3.48,5.29,0.63,0,4.46,0.295,0.488,0.251,0.794,-,-,13.99
1530,3.32,-,3.64,5.45,0.64,0,4.44,0.323,0.468,0.279,0.644,-,-,15.02
1540,3.94,-,4.04,5.78,0.64,0,5.07,0.355,0.569,0.284,0.748,-,-,16.54
1550,5.06,-,5.23,7.62,0.69,0,6.5,0.575,1.082,0.523,1.596,-,-,27.5
1560,6.15,-,6.1,8.63,0.66,0,7.78,0.526,0.997,0.561,1.458,-,-,25.4
1570,6.64,-,6.42,9.06,0.66,0,8.32,0.593,1.021,0.544,1.427,-,-,28.2
1580,6.67,-,6.67,9.76,0.66,0,8.53,0.693,1.137,0.609,1.781,-,-,32.9
1590,7.13,-,6.76,10,0.68,0,8.94,1.036,1.752,0.89,2.442,-,-,48.9
1600,7.52,-,7.61,10.9,0.66,0,9.62,1.006,1.635,0.76,2.26,-,-,47
1610,7.97,-,8.03,12,0.67,0,10.23,1.188,1.967,0.863,2.696,-,-,55.4
1620,8.31,-,8.24,12.5,0.67,0,10.66,1.177,1.886,0.812,2.441,-,-,54.8
1630,8.93,-,9.07,13.3,0.69,0,11.43,1.424,2.627,1.24,3.462,-,-,67.7
1640,9.36,-,10,15,0.68,0,12.26,1.448,2.41,1.033,2.842,-,-,67.1
1650,10.1,-,11.1,16.6,0.67,0,13.45,1.374,2.235,1.03,3.423,-,-,64.4
1660,10.6,-,11.5,17.6,0.66,0,14.1,1.365,2.259,1.069,2.727,-,2.111,63.6
1670,9.84,-,12,17.7,0.67,0,13.56,1.301,2.091,1.026,2.801,-,2.427,60.9
1680,9.89,-,12.2,17.8,0.65,0,13.77,1.128,1.992,1.013,2.794,-,2.832,53.9
1690,9.62,-,12.3,18.5,0.68,0,13.53,1.461,2.113,1.055,2.903,-,3.046,67.7
1700,9.81,-,11.9,19,0.65,0.01,13.82,1.119,1.968,0.947,2.639,-,2.92,53.2
1710,10,-,12.1,19.7,0.66,0.01,14.09,1.343,2.268,1.05,3.021,-,2.597,63.1
1720,9.84,-,12.4,20,0.65,0.01,14.1,1.288,2.416,1.047,2.94,6.847,2.406,61
1730,10.8,-,12.6,20.3,0.61,0.01,15.14,1.067,2.035,0.896,2.41,5.804,2.456,50.7
1740,10.6,12.3,12.6,20.6,0.63,0.01,15.08,1.1,1.964,1.048,2.396,4.108,2.639,51.9
1750,10.9,13.9,13.1,20.5,0.62,0.01,15.47,1.281,2.195,1.082,2.661,8.616,2.322,60.5
1760,11.5,14.7,13.9,21.3,0.61,0.01,16.33,1.405,2.47,1.226,2.876,4.573,1.875,65.4
1770,12.3,16.1,15.1,22.3,0.56,0.01,17.72,1.661,2.824,1.39,3.636,3.186,1.643,75
1780,13.1,16.7,15.3,23.4,0.48,0.01,19.12,1.693,2.846,1.412,3.589,3.607,2.618,77.3
1790,15.3,19.1,17.9,26.8,0.43,0.01,22.52,2.062,3.76,1.674,4.538,3.69,2.118,92.8
1800,19.4,25.9,23.9,35.9,0.4,0.02,29.86,3.01,5.436,2.719,6.866,4.944,2.935,134.7
1810,23.1,31.9,29.8,43.8,0.37,0.02,36.74,3.341,5.65,2.782,6.578,5.301,3.495,147.9
1820,20.3,32.2,27,42.1,0.35,0.02,34.33,2.226,3.962,2.28,4.652,4.828,3.185,104.1
1830,20,32.7,28,42.7,0.31,0.02,35.43,2.08,3.931,2.198,4.521,5.158,2.462,99.3
1840,21.1,30.9,29,43.3,0.26,0.03,37.02,2.057,3.973,2.106,4.534,6.322,2.457,102.3
1850,22.1,36.7,30.1,45.6,0.25,0.04,39.13,1.976,4.125,1.863,4.453,6.964,1.721,99.5
1860,23.6,41.8,34.5,52.7,0.24,0.04,44.66,1.951,4.49,2.179,4.472,7.498,1.379,100
